3.756	0.38
3.742	0.34
3.742	0.36
3.75	0.08
3.728	0.27
3.774	0.19
3.75	0.65
3.762	0.49
3.774	0.71
3.728	0.6
3.762	0.64
3.769	0.38
3.742	0.45
3.762	0.7
3.756	0.42
3.774	0.71
3.569	4.99
3.98	1.271
3.937	1.053
3.907	1.195
3.918	0.973
3.98	1.367
3.98	1.302
3.943	1.395
3.964	1.244
3.98	1.445
3.872	1.314
3.872	1.019
3.98	1.55
3.98	1.366
3.932	0.963
3.932	1.202
3.943	1.3
3.875	1.006
3.964	1.48
3.98	1.432
3.98	1.407
3.892	1.308
3.98	1.374
3.892	0.907
3.872	0.96
3.872	1.089
3.964	1.602
3.937	1.389
3.964	1.266
3.964	1.392
3.932	1.078
3.932	2.003
3.932	1.118
4.424	3.96
4.419	4.29
4.402	4.34
4.475	4.31
4.438	4.58
4.443	4.98
3.833	0.49
3.814	1.18
3.827	0.55
3.833	0.53
3.827	0.8
3.833	0.62
3.822	0.51
3.814	0.44
3.827	0.56
3.845	0.61
3.827	0.61
3.822	0.61
3.795	0.38
3.814	0.55
3.788	0.63
3.814	0.75
3.795	0.23
3.845	0.66
3.814	0.46
3.822	0.7
3.788	0.28
3.788	0.52
3.802	0.75
3.872	0.85
3.833	0.68
3.827	0.5
3.814	0.45
3.845	1
3.814	0.42
3.814	0.41
3.845	0.67
3.845	0.67
3.802	0.5
3.822	0.53
3.845	0.96
3.802	0.47
3.827	0.63
3.833	1.05
3.802	0.53
3.822	0.56
3.833	0.93
3.822	0.55
3.827	0.69
3.855	0.57
3.802	0.37
3.802	0.8
3.827	0.72
3.814	0.86
3.802	0.76
3.833	0.61
3.781	0.54
3.827	0.59
3.814	0.66
3.833	0.88
3.827	0.7
3.827	0.54
3.788	0.72
3.781	0.5
3.845	0.68
3.833	0.51
3.833	0.67
3.822	0.8
3.795	0.68
3.802	0.54
3.833	0.92
3.827	0.98
3.822	0.96
3.781	0.7
3.845	0.82
3.822	0.56
3.827	0.55
3.822	0.55
3.802	0.35
3.781	0.24
3.827	0.69
3.833	0.71
3.833	0.87
3.802	0.35
3.827	0.75
3.827	0.79
3.845	0.93
3.827	0.65
3.827	0.68
3.833	0.77
3.814	0.66
3.814	0.53
3.822	0.8
3.822	0.6
3.822	0.66
3.795	0.32
3.781	0.65
3.822	0.64
3.855	0.99
3.845	0.68
3.802	0.65
3.822	1.12
3.788	0.83
3.827	0.78
3.827	1.13
3.822	0.9
3.833	0.65
3.845	0.93
3.814	0.54
3.788	0.65
3.827	0.67
3.802	0.44
3.822	0.57
3.845	0.67
3.802	0.45
3.788	0.35
3.822	0.72
3.827	0.63
3.814	0.93
3.845	0.67
3.827	0.77
3.833	0.61
3.814	0.58
3.827	0.56
3.827	0.55
3.827	1.05
3.827	0.72
3.822	0.95
3.814	0.92
3.802	0.63
