20 32 03.10 41 15 19.9 WC4              vH88        "" ""  WR144 ""   ""   ""   5.22 0.30 0.30 5.05 0.05 0.05 >20  ""   ""   2-8  ""   ""   >20  ""   ""   2-8  ""   ""   ""    ""    ""    - ""     ""     ""     -
20 33 17.49 41 17 09.2 O7.5V            MT91        24 480 ""    5.63 0.31 0.30 5.02 0.05 0.07 4.55 0.02 0.01 25.4 1.60 3.50 3.40 0.83 2.14 25.5 2.30 3.60 2.74 0.56 1.85 13.85 13.47 11.88 M 8.354  7.889  7.649  2M
20 33 26.77 41 10 59.5 O7.5V            MT91        "" 534 ""    6.36 0.34 0.33 4.84 0.05 0.07 4.55 0.02 0.01 23.4 1.30 3.20 1.77 1.73 1.29 22.6 1.80 2.80 1.29 1.44 0.87 15.48 14.87 13.00 M 8.971  8.434  8.165  2M
20 32 31.50 41 14 08.0 O7.5III          K12a        "" 267 ""    8.03 0.43 0.42 5.51 0.04 0.05 4.56 0.01 0.02 34.7 1.60 5.10 5.17 0.02 0.82 39.5 2.70 7.20 3.05 0.01 0.31 16.48 15.38 ""    U 7.820  7.080  6.637  2M
20 31 10.57 41 31 53.0 O8V              K08         1  059 ""    5.18 0.28 0.27 5.08 0.05 0.06 4.54 0.02 0.02 25.5 1.40 3.80 4.46 0.70 1.95 26.3 1.90 4.70 3.41 0.52 1.60 12.96 12.65 11.18 M 7.968  7.556  7.365  2M
20 32 27.67 41 26 21.7 O8V              MT91        15 258 ""    4.36 0.23 0.23 4.79 0.04 0.06 4.54 0.02 0.02 21.9 1.40 2.80 2.45 1.65 1.81 21.6 1.50 2.90 1.88 1.35 1.32 12.39 12.30 11.10 M 8.535  8.193  8.021  2M
20 32 38.58 41 25 13.6 O8V              H03         16 299 ""    4.40 0.20 0.24 4.92 0.05 0.06 4.54 0.02 0.02 23.4 1.10 3.20 3.65 1.07 2.35 23.4 1.30 3.80 2.94 0.76 1.96 12.07 12.03 10.84 M 8.230  7.920  7.699  2M
20 32 45.45 41 25 37.3 O8V              MT91        6  317 ""    4.54 0.24 0.25 5.04 0.04 0.07 4.54 0.02 0.02 24.8 1.70 3.40 4.28 0.75 2.40 25.0 2.50 3.70 3.42 0.49 1.78 12.02 11.93 10.68 M 7.953  7.617  7.421  2M
20 32 59.17 41 24 25.7 O8V              MT91        "" 376 ""    4.90 0.27 0.25 4.69 0.05 0.06 4.54 0.02 0.02 20.9 1.70 2.20 1.04 2.50 0.53 20.3 1.90 2.30 0.77 2.23 0.37 13.47 13.26 11.91 M 8.886  8.524  8.314  2M
20 33 02.94 41 17 43.3 O8V              MT91        "" 390 ""    6.63 0.38 0.33 4.93 0.05 0.07 4.54 0.02 0.02 23.5 1.10 3.60 3.70 0.93 2.51 23.5 1.30 3.70 2.99 0.73 1.91 15.67 14.93 12.95 M 8.718  8.165  7.873  2M
20 33 13.67 41 13 05.7 O8V              MT91        "" 455 ""    6.13 0.35 0.32 4.75 0.05 0.07 4.54 0.02 0.02 21.4 1.60 2.50 1.89 2.00 1.34 21.1 1.60 2.70 1.41 1.72 0.92 15.27 14.73 12.92 M 9.034  8.559  8.280  2M
