wl,F
4749.617675781249,758331.179848671
4750.86767578125,786332.3591594696
4752.11767578125,798739.2443237305
4753.367675781249,800942.4021987915
4754.617675781249,808946.6157417297
4755.867675781249,811601.8493041992
4757.11767578125,815297.0546226501
4758.36767578125,822605.9036407471
4759.61767578125,829878.2269821167
4760.867675781249,835527.1342391968
4762.117675781249,848097.9434051514
4763.367675781249,866249.3493347168
4764.61767578125,881197.6623535156
4765.86767578125,892438.8871765137
4767.11767578125,887930.1907348633
4768.367675781249,879591.7484970093
4769.617675781249,876421.2579040527
4770.867675781249,871220.2087860107
4772.11767578125,870333.4199066162
4773.367675781249,847452.9958648682
4774.61767578125,824018.700050354
4775.867675781249,817910.9938430786
4777.11767578125,819133.1268997192
4778.36767578125,824942.9745407104
4779.617675781249,832906.3114624023
4780.86767578125,844224.4559516907
4782.117675781249,851054.0673522949
4783.36767578125,857277.2567214966
4784.617675781249,864987.1993789673
4785.867675781249,874189.8988037109
4787.11767578125,877415.7686843872
4788.367675781249,882186.3254852295
4789.61767578125,886116.1027069092
4790.867675781249,890010.849357605
4792.117675781249,893579.120300293
4793.36767578125,893230.2483978271
4794.617675781249,890989.2652587891
4795.86767578125,889681.4137039185
4797.117675781249,884615.9663162231
4798.36767578125,873841.3061294556
4799.61767578125,865908.9049682617
4800.867675781249,859128.6232223511
4802.11767578125,858544.9331436157
4803.367675781249,859599.4902648926
4804.61767578125,858686.0320968628
4805.867675781249,856173.6497497559
4807.117675781249,845665.3980026245
4808.36767578125,837925.5223007202
4809.617675781249,825033.9356460571
4810.86767578125,817489.1723480225
4812.117675781249,815790.9283828735
4813.367675781249,819954.070892334
4814.61767578125,829957.0765914917
4815.867675781249,842232.9996414185
4817.11767578125,856284.2513504028
4818.367675781249,870454.5769271851
4819.61767578125,879475.4487304688
4820.86767578125,887400.9110717773
4822.117675781249,894238.0753097534
4823.36767578125,898510.5601882935
4824.617675781249,900302.2250442505
4825.86767578125,895247.028427124
4827.117675781249,888370.1916885376
4828.367675781249,876797.1372375488
4829.61767578125,868604.7687683105
4830.867675781249,860022.1850357056
4832.11767578125,856771.6418838501
4833.367675781249,855742.8830184937
4834.617675781249,857578.1622314453
4835.86767578125,862435.9852142334
4837.117675781249,872273.0732269287
4838.36767578125,888137.014289856
4839.617675781249,901277.2547607422
4840.86767578125,915787.2489013672
4842.11767578125,921253.0969467163
4843.367675781249,919318.5748825073
4844.61767578125,916596.48097229
4845.867675781249,907063.8291244507
4847.11767578125,901734.9486999512
4848.367675781249,903406.2937545776
4849.617675781249,901099.1466064453
4850.86767578125,901485.4186782837
4852.117675781249,896487.3303833008
4853.36767578125,889513.6016159058
