 #1)No	#2)log(U)	#3)log(n_H/cm^-3)	#4)log(Age/yr)	#5)NII[6548A]	 #6)EW_NII[6548A]	 #7)NII[6584A]	 #8)EW_NII[6584A]	 #9)SII[6716A]	 #10)EW_SII[6716A]	 #11)SII[6731A]	#12)EW_SII[6731A]	 #13)OI[6300A]	 #14)EW_OI[6300A]	 #15)OIII[4959A]	#16)EW_OIII[4959A]	#17)OIII[5007A]	#18)EW_OIII[5007A]	#19)Ha[6563A]	#20)EW_Ha[6563A]	#21)Hb[4861A]	#22)EW_Hb[4861A]	#23)HeII[4686A]	#24)EW_HeII[4686A]
                    1 -3.5	0.0   6.0000000000000000        4.2693766689070561E+039   247.01822677785702        1.2599823817392720E+040   734.41393162356042        2.1997051543299598E+040   1310.0340657287859        1.5183240542310791E+040   903.67739875144855        1.5078719849604204E+039   79.865077683819720        1.2455594826815781E+039   37.700794989703169        3.7528782248017444E+039   117.03801073185755        5.2163229631864808E+040   2915.3032885737239        1.7472879121528182E+040   517.22184531750781        3.3293884795792210E+036   8.5684962684531907E-002
                    2 -3.5	0.0   6.0999999046325684        4.1496793463022783E+039   222.20853455144970        1.2246571974514213E+040   660.13276448265799        2.1380336650442308E+040   1191.2167816764929        1.4757559375639647E+040   812.18197082820950        1.3397215376529247E+039   66.181348850353473        9.8631250468664441E+038   27.598248086965530        2.9717655183509625E+039   85.513229395595530        5.4703427611113258E+040   4390.3280532072240        1.8281614180061642E+040   497.37033840673172        1.7701682187265327E+036   4.1747201909275056E-002
                    3 -3.5	0.0   6.1999998092651367        4.0132811822599113E+039   211.51555116947037        1.1844032454292024E+040   608.93356873158132        2.0725240970105883E+040   1111.8970799225281        1.4272484786351892E+040   774.65521089366575        1.2288520229198731E+039   58.426262245881325        8.2889513135274477E+038   22.061589637028781        2.4974660241843621E+039   68.508073865208658        5.5654410724008007E+040   2931.8148588328586        1.8556650522157691E+040   480.26763800909964        1.0291995525962511E+036   2.2975783796698970E-002
                    4 -3.5	0.0   6.3000001907348633        3.8772684240410488E+039   179.98825101620582        1.1442630347292174E+040   551.86378005357608        2.0301394395880385E+040   1007.2578392726803        1.3980601869713820E+040   688.49368658576293        1.1105186803552776E+039   48.616582382283184        6.7379202805823234E+038   16.226142945074280        2.0301394395880385E+039   50.387088163282399        5.7613713459965638E+040   2940.6118499017780        1.9209933804925274E+040   447.94420524747471        8.2703876888046158E+035   1.6630819949381717E-002
                    5 -3.5	0.0   6.4000000953674316        3.2590364362411049E+039   138.17726126526887        9.6180984006766800E+039   410.91605641476792        1.7704726243338963E+040   776.76406050147136        1.2192400383622146E+040   546.24043512535047        8.4740147563963776E+038   32.196536309945344        4.5613060799652939E+038   9.0536592942140413        1.3743242697092215E+039   28.185758700943140        5.3590673606820265E+040   2213.5924813665479        1.7786447546614640E+040   341.53482923932751        7.0809123069809413E+035   1.1637496784207620E-002
                    6 -3.5	0.0   6.5000000000000000        2.9500550714350126E+039   107.88622432180634        8.7062297459929682E+039   327.04593309074642        1.6551224270129376E+040   636.83582272902220        1.1398038600933711E+040   445.63960447073180        8.9295613093649936E+038   29.294532006693693        5.7786996632298044E+038   9.5926403812077972        1.7371212117640841E+039   29.858654696293328        4.5690943213455893E+040   1471.0797183711484        1.5164570812897098E+040   244.26407190557768        2.5399789851060445E+036   3.3695259048511866E-002
                    7 -3.5	0.0   6.5999999046325684        2.2139949691844833E+039   91.734754722144686        6.5339623808502030E+039   277.06776298608241        1.2594375270941133E+040   556.81069814370699        8.6731454513551782E+039   381.08424582750575        7.0823376798055985E+038   26.698485930257515        4.8660507013180461E+038   9.3174660662639806        1.4661440077066377E+039   29.095653047339571        3.3433098643847483E+040   1261.3254766530029        1.1096260138702694E+040   205.56799423656352        1.0944013742029792E+036   1.6139096242580957E-002
                    8 -3.5	0.0   6.6999998092651367        1.2172209829872126E+039   58.540604840999315        3.5922737958837951E+039   179.54834746173381        7.2006123384859268E+039   373.74639823195105        4.9587182219832627E+039   258.44040616054798        3.9117350398309872E+038   17.328946675620870        2.6814483148064716E+038   6.0583630299161255        8.0792199260556234E+038   18.973969486178635        1.9425375843282917E+040   990.92155184409569        6.4027925406434194E+039   139.93359041059301        4.3789443936726980E+035   7.5958073868588501E-003
                    9 -3.5	0.0   6.8000001907348633        6.5625315729817038E+038   33.205467209969996        1.9367403728473063E+039   101.34786323851213        3.8732132230356330E+039   210.62780602641456        2.6672971802745041E+039   144.37940483925928        2.1630741429259774E+038   10.369992878997925        1.4691678154956296E+038   3.9556135724941557        4.4164305547454941E+038   12.444368343492945        1.0473007290404183E+040   529.53537217224959        3.4520049186225381E+039   90.022324843796255        7.9263164271723763E+034   1.6241324660785745E-003
                   10 -3.5	0.0   6.9000000953674316        3.0906237478590035E+038   19.487595023498116        9.1210773208357313E+038   59.354638091945034        1.8665779764375340E+039   127.47257867205080        1.2854232097793600E+039   87.653111130196038        1.0765795781157408E+038   6.5994389567954919        7.3290238897663190E+037   2.6346586228146629        2.2082393131269922E+038   8.2791250451425089        5.0355410107687811E+039   317.23389403710144        1.6483374935559421E+039   57.434342954552143        1.0116869252332047E+035   2.8576132235947332E-003
                   11 -3.5	0.0   7.0000000000000000        2.3460492719583484E+038   18.026248971169334        6.9236822576174447E+038   54.263923467730137        1.3751090141251421E+039   112.02949685521853        9.5134300436157828E+038   78.104764933366596        1.1306732797403612E+038   8.4154861187766929        1.0948058994388722E+038   5.0711041071784022        3.2910700702807775E+038   15.947920233350725        2.7310970237662507E+039   214.34013058375439        9.0227127026866551E+038   41.825145077129100        4.2008495602238680E+035   1.6171880592023808E-002
                   12 -3.5	0.0   7.0999999046325684        1.4356422136019765E+038   13.957884767756365        4.2368805469739052E+038   41.785024112875384        8.1291702634328775E+038   82.518258429687222        5.6369764421668708E+038   57.391383113800082        7.4138913952205187E+037   6.9224824303083530        8.4342451453344091E+037   4.9697842562008088        2.5412431432355127E+038   15.745476359775985        1.4323403281370428E+039   143.77069748271055        4.7538581623777172E+038   29.082092389968661        4.7648169372305580E+035   2.4084445101694638E-002
                   13 -3.5	0.0   7.1999998092651367        1.0020169616065927E+038   12.521863642082488        2.9571617023695987E+038   37.634239714096175        5.4560089378789311E+038   70.091893742068692        3.7920588888076775E+038   48.310475002034160        5.3687733880048686E+037   6.3064896311437622        7.1758784397611666E+037   5.2441966474245847        2.1620964967827703E+038   16.765011684507588        8.6074611879781667E+038   112.92158108013042        2.8765708362395880E+038   22.529725179337326        5.6088661108632454E+035   3.5453934288955311E-002
                   14 -3.5	0.0   7.3000001907348633        5.1966896610128740E+037   7.9044070342246338        1.5336518475702999E+038   23.894828457645708        2.6898420720671401E+038   41.827558805281065        1.8652059068804358E+038   28.793647048053884        2.5510958845120199E+037   3.5094137388506952        3.2864481295488110E+037   2.5660399494962642        9.8793138420535502E+037   8.1512819903704710        4.5575010999369236E+038   73.506701950099810        1.5230942625124800E+038   12.954928177132233        1.7649271426892534E+035   1.1775510681851283E-002
                   15 -3.5	0.0   7.4000000953674316        3.7877202736640300E+037   6.5520254619080784        1.1178355019668630E+038   19.848256047320966        1.9247658228404491E+038   33.783348688507729        1.3346822920962839E+038   23.353565310935693        1.8423744342538203E+037   2.8389404606901123        2.4625094086234459E+037   2.1281223880231126        7.4195556827974481E+037   6.7735242698683509        3.1796396098692580E+038   59.053829372031977        1.0699855151655774E+038   10.264588610284630        1.3470319552936177E+035   9.9574478192881143E-003
                   16 -3.5	0.0   7.5000000000000000        2.0160040179585207E+037   4.1409834442348794        5.9496496587957017E+037   12.523828331895652        1.0080716316316109E+038   20.888932707312314        6.9741517566753356E+037   14.407266282983462        8.3654901721900754E+036   1.5018351697886758        9.0675799466166991E+036  0.88377576102995903        2.7320673003945387E+037   2.8088916141626665        1.9837703429302539E+038   44.137981863220602        6.6756167138001535E+037   7.3370524508700923        4.2706245601481490E+034   3.5481786210349703E-003
