 #1)No	#2)log(U)	#3)log(n_H/cm^-3)	#4)log(Age/yr)	#5)HeII[1640A]	#6)EW_HeII[1640A]	#7)CIII[1907A]	#8)EW_CIII[1907A]	#9)CIII[1910A]	#10)EW_CIII[1910A]	#11)CIV[1548A]	#12)EW_CIV[1548A]	#13)CIV[1551A]	#14)EW_CIV[1551A]	#15)OI[1357A]	#16)EW_OI[1357A]	#17)OIII[1661A]	#18)EW_OIII[1661A]	#19)OIII[1666A]	#20)EW_OIII[1666A]	#21)SiII[1263A]	#22)EW_SiII[1263A]	#23)SiII[1308A]	#24)EW_SiII[1308A]	#25)SiII[1531A]	#26)EW_SiII[1531A]
                    1 -3.5	0.0   6.0000000000000000        2.0766555755674068E+037   2.6429756135351794E-002   1.9650086769593459E+038  0.33494074573996285        1.2834072031395373E+038  0.22242553142599544        1.6571601165882100E+036   1.7896395902723796E-003   9.2547453302112655E+035   8.5552484734960463E-004   5.2283478295078340E+037   3.6452335260627119E-002   1.0054592466791889E+036   1.1664102892622052E-003   2.4737993578201542E+036   2.8227838656318177E-003   2.2251765395497861E+038  0.12720366243572387        7.0042957009456422E+037   4.3326861857211081E-002   6.4619630810353928E+037   7.0473328778749886E-002
                    2 -3.5	0.0   6.0999999046325684        1.1995394604623495E+037   1.3916427484776219E-002   1.5066575049750985E+038  0.23194004131580168        9.8404404887484669E+037  0.15382821790915943        1.0116133203177056E+036   1.0163467571768794E-003   6.1946181297054688E+035   4.7450977711556024E-004   5.5592286805340523E+037   3.5170824233186335E-002   6.6529542848008059E+035   6.9734110985585345E-004   1.6368713194199051E+036   1.6874220318557019E-003   2.3933958807786326E+038  0.12359966797743102        7.5164805714728209E+037   4.2461618491396021E-002   6.6223867364827668E+037   6.5601444758562250E-002
                    3 -3.5	0.0   6.1999998092651367        7.4558916599381443E+036   8.2495942930690853E-003   1.2430814587114572E+038  0.18060907686187502        8.1189448011404090E+037  0.11971889154203429        7.4387435849743384E+035   7.1590990026334492E-004   4.8472965361072241E+035   3.2997712722776697E-004   5.7082053563465704E+037   3.4189677598089829E-002   4.9260587687756145E+035   4.8750371776748490E-004   1.2147854701328807E+036   1.1832504464317087E-003   2.4974660241843618E+038  0.12140163477169039        7.8252746405400719E+037   4.2005513626809023E-002   6.7065565162643153E+037   6.3277680632472438E-002
                    4 -3.5	0.0   6.3000001907348633        5.8684832364138567E+036   6.0449823204881421E-003   9.5614964547018266E+037  0.12458480714982423        6.2449054635962452E+037   8.2602332561005104E-002   6.0468036748451314E+035   5.5235848420079434E-004   4.2808091706051201E+035   2.5080776248661749E-004   5.9638384181391786E+037   3.2429480691454189E-002   3.3769596258261434E+035   3.0142144019504736E-004   8.3085620638971377E+035   7.2831307852512810E-004   2.7322841849468991E+038  0.11950891205868323        8.6005429368122945E+037   4.1621525657314432E-002   6.9426595377541055E+037   6.1154979130818410E-002
                    5 -3.5	0.0   6.4000000953674316        4.8315804568770487E+036   4.5400574532935842E-003   5.6896980075648121E+037   6.3584664378609351E-002   3.7161156040780319E+037   4.2218503382803474E-002   4.3862079319606851E+035   3.9783906176528189E-004   3.4760756218428489E+035   1.7813529551981898E-004   5.5987260278707629E+037   2.6945660591249566E-002   1.7992404902426707E+035   1.4033184456796187E-004   4.4369978260832360E+035   3.3651391568204850E-004   3.0696525139843685E+038  0.11738726541493219        9.8648211515296212E+037   4.1407746692587531E-002   7.0972354956572675E+037   5.9355183490088559E-002
                    6 -3.5	0.0   6.5000000000000000        1.5553571265023753E+037   1.3868484507954219E-002   6.9956830266548052E+027   7.2718728015223029E-012   4.3534155424403298E+037   4.6193517212388090E-002   8.9501460741142692E+035   8.9643599817169960E-004   7.8673799280719996E+035   3.9882198684215356E-004   4.6647687974462619E+037   2.1474346139907084E-002   2.6231922672625224E+035   1.9470276053009202E-004   6.4688953201983058E+035   4.5964901596979381E-004   3.3176466068121728E+038  0.12006470125631608        1.0760442309538273E+038   4.2449034069939329E-002   7.2749518531664064E+037   6.2283164432955493E-002
                    7 -3.5	0.0   6.5999999046325684        7.0012668307772560E+036   7.6162737986589565E-003   5.1781738801331259E+027   6.5278375417043167E-012   3.6658663692483057E+037   4.7237948794562626E-002   7.2807585636753964E+035   1.0247400372249207E-003   7.0986641543056218E+035   4.5012397303749685E-004   3.3742451296789591E+037   1.9118719779203479E-002   2.3397886487451160E+035   2.1370387044138066E-004   5.7700108486198293E+035   4.9739528706553061E-004   2.7744482569982263E+038  0.12055694454818006        9.0610104172736671E+037   4.2840040980715310E-002   5.6646962818355110E+037   6.3782367064157144E-002
                    8 -3.5	0.0   6.6999998092651367        2.9199097637109941E+036   3.9681711149653761E-003   3.1072015888980613E+027   4.8672022463950788E-012   1.7634754996959628E+037   2.8385220018094289E-002   5.2889496218411430E+035   1.0545669522337858E-003   5.6023395892102493E+035   4.5405741338745009E-004   1.9380698718620436E+037   1.3862443455006991E-002   1.1491307078325201E+035   1.3372140930258632E-004   2.8338015291389429E+035   3.0530241407472614E-004   2.2457914821602031E+038  0.12056247765202077        7.3683361461029799E+037   4.3022977892255752E-002   4.1818594305575546E+037   6.3614180472126677E-002
                    9 -3.5	0.0   6.8000001907348633        6.2097112469916122E+035   1.0660055654454696E-003   7.5870230912962989E+026   1.5958388733122552E-012   1.0070972402054288E+037   2.2053972604430552E-002   3.5568979558448528E+035   9.9379427568423878E-004   3.9452216330814255E+035   4.2308314013386598E-004   1.0353123767293739E+037   9.9256319178023123E-003   6.3251583984884357E+034   1.0117616970476540E-004   1.5562214814743236E+035   2.2523780442928641E-004   1.6946164030693289E+038  0.12091131508278466        5.6114023003114207E+037   4.3368321241317273E-002   2.9858735100643949E+037   6.4241286828112643E-002
                   10 -3.5	0.0   6.9000000953674316        6.9509815750277265E+035   1.7273711890967677E-003   1.2913564537346825E+027   3.6662057558809463E-012   4.7758000673219774E+036   1.4370563650302967E-002   3.4837432265822954E+035   1.2889403603559143E-003   3.7761230448316183E+035   5.5185572629101373E-004   4.8534005758277365E+036   6.2458413923477830E-003   3.1192209373038416E+034   6.8955156701655537E-005   7.6921215329162308E+034   1.4974225891708394E-004   1.2824668184358606E+038  0.12375229050591023        4.2077132670256288E+037   4.3842210639761098E-002   2.1579736495655914E+037   6.5118012227942321E-002
